year,geography,population,grouping
1990,Algona,1694,All
1991,Algona,1757,All
1992,Algona,2072,All
1993,Algona,2144,All
1994,Algona,2223,All
1995,Algona,2284,All
1996,Algona,2392,All
1997,Algona,2457,All
1998,Algona,2518,All
1999,Algona,2546,All
2000,Algona,2460,All
2001,Algona,2529,All
2002,Algona,2565,All
2003,Algona,2661,All
2004,Algona,2692,All
2005,Algona,2773,All
2006,Algona,2833,All
2007,Algona,2886,All
2008,Algona,2932,All
2009,Algona,2974,All
2010,Algona,3014,All
2011,Algona,3060,All
2012,Algona,3084,All
2013,Algona,3092,All
2014,Algona,3117,All
2015,Algona,3144,All
2016,Algona,3223,All
2017,Algona,3238,All
2018,Algona,3240,All
2019,Algona,3259,All
2020,Algona,3290,All
2021,Algona,3290,All
2022,Algona,3300,All
1990,Arlington,4037,All
1991,Arlington,4397,All
1992,Arlington,4614,All
1993,Arlington,4863,All
1994,Arlington,5167,All
1995,Arlington,5692,All
1996,Arlington,6019,All
1997,Arlington,6514,All
1998,Arlington,7188,All
1999,Arlington,8054,All
2000,Arlington,11927,All
2001,Arlington,12912,All
2002,Arlington,13676,All
2003,Arlington,14431,All
2004,Arlington,14838,All
2005,Arlington,15173,All
2006,Arlington,15693,All
2007,Arlington,17094,All
2008,Arlington,17527,All
2009,Arlington,17711,All
2010,Arlington,17926,All
2011,Arlington,17836,All
2012,Arlington,17768,All
2013,Arlington,17953,All
2014,Arlington,17947,All
2015,Arlington,17981,All
2016,Arlington,18024,All
2017,Arlington,18015,All
2018,Arlington,18532,All
2019,Arlington,18941,All
2020,Arlington,19868,All
2021,Arlington,20690,All
2022,Arlington,21260,All
1990,Auburn,33650,All
1991,Auburn,33503,All
1992,Auburn,34566,All
1993,Auburn,34996,All
1994,Auburn,35653,All
1995,Auburn,36023,All
1996,Auburn,36796,All
1997,Auburn,37509,All
1998,Auburn,38396,All
1999,Auburn,40310,All
2000,Auburn,43047,All
2001,Auburn,44196,All
2002,Auburn,45491,All
2003,Auburn,46424,All
2004,Auburn,47644,All
2005,Auburn,49560,All
2006,Auburn,51414,All
2007,Auburn,53400,All
2008,Auburn,68405,All
2009,Auburn,69059,All
2010,Auburn,70180,All
2011,Auburn,71231,All
2012,Auburn,72249,All
2013,Auburn,74838,All
2014,Auburn,76731,All
2015,Auburn,78210,All
2016,Auburn,80362,All
2017,Auburn,82058,All
2018,Auburn,84352,All
2019,Auburn,86353,All
2020,Auburn,87256,All
2021,Auburn,88080,All
2022,Auburn,88750,All
1990,Bainbridge Island,3081,All
1991,Bainbridge Island,13353,All
1992,Bainbridge Island,14065,All
1993,Bainbridge Island,14788,All
1994,Bainbridge Island,15407,All
1995,Bainbridge Island,16341,All
1996,Bainbridge Island,17009,All
1997,Bainbridge Island,17663,All
1998,Bainbridge Island,18342,All
1999,Bainbridge Island,19479,All
2000,Bainbridge Island,20308,All
2001,Bainbridge Island,20700,All
2002,Bainbridge Island,21008,All
2003,Bainbridge Island,21138,All
2004,Bainbridge Island,21508,All
2005,Bainbridge Island,21896,All
2006,Bainbridge Island,22220,All
2007,Bainbridge Island,22819,All
2008,Bainbridge Island,22925,All
2009,Bainbridge Island,22992,All
2010,Bainbridge Island,23025,All
2011,Bainbridge Island,22996,All
2012,Bainbridge Island,23017,All
2013,Bainbridge Island,23085,All
2014,Bainbridge Island,23217,All
2015,Bainbridge Island,23227,All
2016,Bainbridge Island,23574,All
2017,Bainbridge Island,23735,All
2018,Bainbridge Island,24081,All
2019,Bainbridge Island,24233,All
2020,Bainbridge Island,24825,All
2021,Bainbridge Island,24930,All
2022,Bainbridge Island,25060,All
1990,Beaux Arts Village,303,All
1991,Beaux Arts Village,366,All
1992,Beaux Arts Village,352,All
1993,Beaux Arts Village,351,All
1994,Beaux Arts Village,350,All
1995,Beaux Arts Village,349,All
1996,Beaux Arts Village,348,All
1997,Beaux Arts Village,335,All
1998,Beaux Arts Village,334,All
1999,Beaux Arts Village,289,All
2000,Beaux Arts Village,307,All
2001,Beaux Arts Village,308,All
2002,Beaux Arts Village,305,All
2003,Beaux Arts Village,296,All
2004,Beaux Arts Village,292,All
2005,Beaux Arts Village,288,All
2006,Beaux Arts Village,289,All
2007,Beaux Arts Village,298,All
2008,Beaux Arts Village,297,All
2009,Beaux Arts Village,295,All
2010,Beaux Arts Village,299,All
2011,Beaux Arts Village,300,All
2012,Beaux Arts Village,304,All
2013,Beaux Arts Village,297,All
2014,Beaux Arts Village,301,All
2015,Beaux Arts Village,310,All
2016,Beaux Arts Village,317,All
2017,Beaux Arts Village,312,All
2018,Beaux Arts Village,316,All
2019,Beaux Arts Village,316,All
2020,Beaux Arts Village,317,All
2021,Beaux Arts Village,315,All
2022,Beaux Arts Village,315,All
1990,Bellevue,86872,All
1991,Bellevue,87879,All
1992,Bellevue,88487,All
1993,Bellevue,89689,All
1994,Bellevue,100390,All
1995,Bellevue,103589,All
1996,Bellevue,104899,All
1997,Bellevue,105506,All
1998,Bellevue,107088,All
1999,Bellevue,108657,All
2000,Bellevue,109827,All
2001,Bellevue,111318,All
2002,Bellevue,117393,All
2003,Bellevue,116983,All
2004,Bellevue,117061,All
2005,Bellevue,115493,All
2006,Bellevue,117580,All
2007,Bellevue,118701,All
2008,Bellevue,119973,All
2009,Bellevue,120872,All
2010,Bellevue,122363,All
2011,Bellevue,124052,All
2012,Bellevue,125738,All
2013,Bellevue,133169,All
2014,Bellevue,136483,All
2015,Bellevue,137500,All
2016,Bellevue,143053,All
2017,Bellevue,143969,All
2018,Bellevue,145890,All
2019,Bellevue,148105,All
2020,Bellevue,151854,All
2021,Bellevue,152600,All
2022,Bellevue,153900,All
1990,Black Diamond,1422,All
1991,Black Diamond,1508,All
1992,Black Diamond,1533,All
1993,Black Diamond,1591,All
1994,Black Diamond,1624,All
1995,Black Diamond,1755,All
1996,Black Diamond,2017,All
1997,Black Diamond,2063,All
1998,Black Diamond,3768,All
1999,Black Diamond,3917,All
2000,Black Diamond,3970,All
2001,Black Diamond,4051,All
2002,Black Diamond,4018,All
2003,Black Diamond,3981,All
2004,Black Diamond,3983,All
2005,Black Diamond,4058,All
2006,Black Diamond,4057,All
2007,Black Diamond,4094,All
2008,Black Diamond,4128,All
2009,Black Diamond,4146,All
2010,Black Diamond,4153,All
2011,Black Diamond,4120,All
2012,Black Diamond,4088,All
2013,Black Diamond,4049,All
2014,Black Diamond,4016,All
2015,Black Diamond,3994,All
2016,Black Diamond,4048,All
2017,Black Diamond,4033,All
2018,Black Diamond,4011,All
2019,Black Diamond,4116,All
2020,Black Diamond,4697,All
2021,Black Diamond,5320,All
2022,Black Diamond,6145,All
1990,Bonney Lake,7494,All
1991,Bonney Lake,7807,All
1992,Bonney Lake,8006,All
1993,Bonney Lake,8310,All
1994,Bonney Lake,8549,All
1995,Bonney Lake,8747,All
1996,Bonney Lake,8955,All
1997,Bonney Lake,9108,All
1998,Bonney Lake,9302,All
1999,Bonney Lake,9490,All
2000,Bonney Lake,9687,All
2001,Bonney Lake,10088,All
2002,Bonney Lake,12481,All
2003,Bonney Lake,12897,All
2004,Bonney Lake,13877,All
2005,Bonney Lake,14560,All
2006,Bonney Lake,15569,All
2007,Bonney Lake,16132,All
2008,Bonney Lake,16725,All
2009,Bonney Lake,17082,All
2010,Bonney Lake,17374,All
