year,geography,population,grouping
1990,King County,1507305,All
1991,King County,1549991,All
1992,King County,1570997,All
1993,King County,1590603,All
1994,King County,1609529,All
1995,King County,1625241,All
1996,King County,1640249,All
1997,King County,1659106,All
1998,King County,1686266,All
1999,King County,1712122,All
2000,King County,1737046,All
2001,King County,1755487,All
2002,King County,1777514,All
2003,King County,1788082,All
2004,King County,1800783,All
2005,King County,1814999,All
2006,King County,1845209,All
2007,King County,1871098,All
2008,King County,1891125,All
2009,King County,1909205,All
2010,King County,1931249,All
2011,King County,1945686,All
2012,King County,1956755,All
2013,King County,1983550,All
2014,King County,2021027,All
2015,King County,2061981,All
2016,King County,2118958,All
2017,King County,2149910,All
2018,King County,2187460,All
2019,King County,2227755,All
2020,King County,2269675,All
2021,King County,2287050,All
2022,King County,2317700,All
1990,Kitsap County,189731,All
1991,Kitsap County,196926,All
1992,Kitsap County,202113,All
1993,Kitsap County,207976,All
1994,Kitsap County,212429,All
1995,Kitsap County,218308,All
1996,Kitsap County,221849,All
1997,Kitsap County,225251,All
1998,Kitsap County,227179,All
1999,Kitsap County,229569,All
2000,Kitsap County,231969,All
2001,Kitsap County,233918,All
2002,Kitsap County,236656,All
2003,Kitsap County,239443,All
2004,Kitsap County,240777,All
2005,Kitsap County,239819,All
2006,Kitsap County,244049,All
2007,Kitsap County,247476,All
2008,Kitsap County,249905,All
2009,Kitsap County,251249,All
2010,Kitsap County,251133,All
2011,Kitsap County,250422,All
2012,Kitsap County,252907,All
2013,Kitsap County,253217,All
2014,Kitsap County,255971,All
2015,Kitsap County,259034,All
2016,Kitsap County,263471,All
2017,Kitsap County,265268,All
2018,Kitsap County,269280,All
2019,Kitsap County,272342,All
2020,Kitsap County,275611,All
2021,Kitsap County,277700,All
2022,Kitsap County,280900,All
1990,Pierce County,586203,All
1991,Pierce County,598065,All
1992,Pierce County,610619,All
1993,Pierce County,623697,All
1994,Pierce County,636802,All
1995,Pierce County,649284,All
1996,Pierce County,653212,All
1997,Pierce County,664070,All
1998,Pierce County,675651,All
1999,Pierce County,688884,All
2000,Pierce County,700818,All
2001,Pierce County,709288,All
2002,Pierce County,721124,All
2003,Pierce County,731969,All
2004,Pierce County,743701,All
2005,Pierce County,756919,All
2006,Pierce County,774050,All
2007,Pierce County,786911,All
2008,Pierce County,794330,All
2009,Pierce County,796900,All
2010,Pierce County,795225,All
2011,Pierce County,806190,All
2012,Pierce County,814214,All
2013,Pierce County,823032,All
2014,Pierce County,834544,All
2015,Pierce County,845324,All
2016,Pierce County,862608,All
2017,Pierce County,877920,All
2018,Pierce County,891661,All
2019,Pierce County,905841,All
2020,Pierce County,920393,All
2021,Pierce County,928200,All
2022,Pierce County,937400,All
1990,Snohomish County,465628,All
1991,Snohomish County,488075,All
1992,Snohomish County,496461,All
1993,Snohomish County,507336,All
1994,Snohomish County,519960,All
1995,Snohomish County,531704,All
1996,Snohomish County,542738,All
1997,Snohomish County,554585,All
1998,Snohomish County,570896,All
1999,Snohomish County,589266,All
2000,Snohomish County,606024,All
2001,Snohomish County,617864,All
2002,Snohomish County,629287,All
2003,Snohomish County,639942,All
2004,Snohomish County,648778,All
2005,Snohomish County,661346,All
2006,Snohomish County,676126,All
2007,Snohomish County,689314,All
2008,Snohomish County,699330,All
2009,Snohomish County,705894,All
2010,Snohomish County,713335,All
2011,Snohomish County,718874,All
2012,Snohomish County,725545,All
2013,Snohomish County,735288,All
2014,Snohomish County,746184,All
2015,Snohomish County,760430,All
2016,Snohomish County,773899,All
2017,Snohomish County,787096,All
2018,Snohomish County,801223,All
2019,Snohomish County,814419,All
2020,Snohomish County,827957,All
2021,Snohomish County,837800,All
2022,Snohomish County,847300,All
1990,Region,2748867,All
1991,Region,2833057,All
1992,Region,2880190,All
1993,Region,2929612,All
1994,Region,2978720,All
1995,Region,3024537,All
1996,Region,3058048,All
1997,Region,3103012,All
1998,Region,3159992,All
1999,Region,3219841,All
2000,Region,3275857,All
2001,Region,3316557,All
2002,Region,3364581,All
2003,Region,3399436,All
2004,Region,3434039,All
2005,Region,3473083,All
2006,Region,3539434,All
2007,Region,3594799,All
2008,Region,3634690,All
2009,Region,3663248,All
2010,Region,3690942,All
2011,Region,3721172,All
2012,Region,3749421,All
2013,Region,3795087,All
2014,Region,3857726,All
2015,Region,3926769,All
2016,Region,4018936,All
2017,Region,4080194,All
2018,Region,4149624,All
2019,Region,4220357,All
2020,Region,4293636,All
2021,Region,4330750,All
2022,Region,4383300,All
1990,King County,994048,Incorporated
1991,King County,1020277,Incorporated
1992,King County,1035995,Incorporated
1993,King County,1085719,Incorporated
1994,King County,1109385,Incorporated
1995,King County,1134414,Incorporated
1996,King County,1211610,Incorporated
1997,King County,1230356,Incorporated
1998,King County,1287014,Incorporated
1999,King County,1329107,Incorporated
2000,King County,1387812,Incorporated
2001,King County,1404829,Incorporated
2002,King County,1427263,Incorporated
2003,King County,1436622,Incorporated
2004,King County,1443623,Incorporated
2005,King County,1455474,Incorporated
2006,King County,1481836,Incorporated
2007,King County,1508783,Incorporated
2008,King County,1559103,Incorporated
2009,King County,1580145,Incorporated
2010,King County,1606249,Incorporated
